Passo;Rua;Distancia_m
1;Rua Ministro Calógeras;109.7
2;Desconhecida;70.35
3;Desconhecida;70.35
4;Rua Ministro Calógeras;60.18
5;Rua Ministro Calógeras;35.55
6;Rua Ministro Calógeras;37.58
7;Desconhecida;47.47
8;Desconhecida;47.47
9;Rua Ministro Calógeras;33.77
10;Desconhecida;62.09
11;Desconhecida;62.09
12;Rua Ministro Calógeras;104.75
13;Rua Ministro Calógeras;89.53
14;Rua Ministro Calógeras;85.28
15;Travessa São José;86.4
16;Travessa São José;52.32
17;Travessa São José;52.32
18;Desconhecida;34.23
19;Avenida Juscelino Kubitschek;79.14
20;Avenida Juscelino Kubitschek;336.99
21;Avenida Juscelino Kubitschek;84.89
22;Rua Jacob Richlin;12.13
23;Avenida Juscelino Kubitschek;85.3
24;Avenida Juscelino Kubitschek;258.81
25;Avenida Juscelino Kubitschek;79.14
26;Avenida Getúlio Vargas;112.0
27;Avenida Getúlio Vargas;52.36
28;Rua Rio do Sul;149.94
29;Rua Rio do Sul;149.94
30;Rua Rio do Sul;149.94
31;Rua Rio do Sul;114.64
32;Rua Rio do Sul;114.64
33;Rua Rio do Sul;114.64
34;Rua São Paulo;148.89
35;Rua Ministro Calógeras;37.58
36;Rua Ministro Calógeras;33.77
37;Rua Ministro Calógeras;104.75
38;Rua do Príncipe;182.25
39;Rua Abdon Batista;63.94
40;Rua Abdon Batista;63.94
41;Rua Abdon Batista;250.22
42;Rua Professora Laura Andrade;189.53
43;Rua Ministro Calógeras;35.55
44;Rua Ministro Calógeras;37.58
45;Rua Ministro Calógeras;33.77
46;Rua Ministro Calógeras;104.75
47;Rua Ministro Calógeras;89.53
48;Avenida Getúlio Vargas;112.0
49;Avenida Getúlio Vargas;52.36
50;Avenida Getúlio Vargas;3.91
51;Servidão Doutor Carlos Lang;149.47
52;Travessa São José;14.13
53;Travessa São José;14.13
54;Travessa São José;54.68
55;Rua Professora Ana Maria Harger;130.33
56;Avenida Getúlio Vargas;52.36
57;Avenida Getúlio Vargas;3.91
58;Servidão Doutor Carlos Lang;149.47
59;Travessa São José;54.68
60;Travessa São José;127.14
61;Rua Ministro Calógeras;100.3
62;Rua Ministro Calógeras;100.3
63;Rua Ministro Calógeras;85.28
64;Avenida Juscelino Kubitschek;336.99
65;Avenida Juscelino Kubitschek;84.89
66;Avenida Juscelino Kubitschek;79.53
67;Avenida Juscelino Kubitschek;12.91
68;Rua São Francisco;165.06
69;Rua Nove de Março;40.71
70;Rua Nove de Março;55.58
71;Rua Nove de Março;62.49
72;Rua Nove de Março;62.49
73;Rua Nove de Março;55.58
74;Rua Nove de Março;55.58
75;Rua São Joaquim;151.63
76;Rua Engenheiro Niemeyer;60.33
77;Rua do Príncipe;42.49
78;Rua do Príncipe;39.55
79;Rua Jacob Richlin;96.88
80;Avenida Juscelino Kubitschek;79.53
81;Rua Engenheiro Niemeyer;46.31
82;Rua Engenheiro Niemeyer;57.6
83;Rua Engenheiro Niemeyer;60.33
84;Rua do Príncipe;42.49
85;Rua do Príncipe;39.55
86;Rua Jacob Richlin;96.88
87;Avenida Juscelino Kubitschek;79.53
88;Avenida Juscelino Kubitschek;12.91
89;Rua São Francisco;165.06
90;Rua Nove de Março;40.71
91;Rua Comandante Eugênio Lepper;151.31
92;Rua Engenheiro Niemeyer;57.6
93;Rua Engenheiro Niemeyer;60.33
94;Rua do Príncipe;42.49
95;Rua do Príncipe;39.55
96;Rua Jacob Richlin;96.88
97;Avenida Juscelino Kubitschek;79.53
98;Avenida Juscelino Kubitschek;12.91
99;Avenida Juscelino Kubitschek;167.32
100;Desconhecida;34.28
101;Rua Nove de Março;78.17
102;Rua Nove de Março;78.17
103;Rua Nove de Março;21.79
104;Rua Nove de Março;21.79
105;Rua Nove de Março;78.17
106;Rua Nove de Março;40.71
107;Rua Nove de Março;40.71
108;Rua Nove de Março;40.71
109;Rua Nove de Março;55.58
110;Rua Nove de Março;62.49
111;Rua Nove de Março;81.49
112;Rua Nove de Março;13.72
113;Rua Nove de Março;13.72
114;Rua Nove de Março;81.49
115;Rua do Príncipe;107.32
116;Rua do Príncipe;45.39
117;Rua do Príncipe;42.49
118;Rua do Príncipe;39.55
119;Rua Jacob Richlin;96.88
120;Avenida Juscelino Kubitschek;79.53
121;Avenida Juscelino Kubitschek;12.91
122;Avenida Juscelino Kubitschek;167.32
123;Avenida Juscelino Kubitschek;29.05
124;Rua Doutor João Colin;99.51
125;Rua XV de Novembro;258.95
126;Rua do Príncipe;98.47
127;Rua Nove de Março;81.49
128;Travessa Doutor Norberto Bachmann;103.54
129;Rua Jerônimo Coelho;82.93
130;Rua do Príncipe;45.39
131;Rua do Príncipe;42.49
132;Rua do Príncipe;39.55
133;Rua Jacob Richlin;96.88
134;Rua Jacob Richlin;12.13
135;Rua Jacob Richlin;31.99
136;Rua Jacob Richlin;100.15
137;Rua Pedro Lobo;111.26
138;Rua Pedro Lobo;111.26
139;Rua Pedro Lobo;111.26
140;Rua Padre Carlos;87.66
141;Rua Padre Carlos;12.16
142;Rua Padre Carlos;79.07
143;Rua do Príncipe;28.5
144;Rua Rio Branco, Rua Doutor Marinho Lobo;173.62
145;Rua Rio Branco;22.45
146;Rua Rio Branco;18.02
147;Rua Três de Maio;183.87
148;Rua do Príncipe;42.98
149;Rua do Príncipe;28.5
150;Rua Rio Branco, Rua Doutor Marinho Lobo;173.62
151;Desconhecida;23.8
152;Rua Sete de Setembro;155.64
153;Rua Sete de Setembro;155.64
154;Rua Sete de Setembro;18.73
155;Rua Rio Branco;18.02
156;Rua Rio Branco;77.42
157;Rua Rio Branco;89.48
158;Rua Jerônimo Coelho;95.19
159;Travessa Doutor Norberto Bachmann;103.54
160;Rua Nove de Março;13.72
161;Rua Nove de Março;81.17
162;Rua Nove de Março;152.1
163;Rua Nove de Março;32.53
164;Avenida Doutor Paulo Medeiros;111.07
165;Rua Jerônimo Coelho;56.71
166;Rua Itajaí;99.05
167;Servidão Dona Leopoldina;64.94
168;Servidão Dona Leopoldina;64.94
169;Rua Itajaí;88.3
170;Rua Sete de Setembro;155.64
171;Rua Sete de Setembro;18.73
172;Rua Rio Branco;18.02
173;Rua Rio Branco;77.42
174;Alameda Brüstlein;178.04
175;Rua do Príncipe;39.55
176;Rua do Príncipe;36.67
177;Rua do Príncipe;42.98
178;Rua do Príncipe;28.5
179;Rua do Príncipe;120.57
180;Rua Abdon Batista;250.22
181;Rua Abdon Batista;30.1
182;Desconhecida;70.07
183;Desconhecida;70.07
184;Rua Abdon Batista;28.84
185;Rua Abdon Batista;18.56
186;Servidão Doutor Hercílio Alexandre da Luz;84.05
187;Servidão Doutor Hercílio Alexandre da Luz;84.05
188;Rua Abdon Batista;82.36
189;Desconhecida;11.17
190;Avenida Doutor Paulo Medeiros;136.32
191;Avenida Doutor Paulo Medeiros;119.1
192;Desconhecida;7.94
193;Desconhecida;7.94
194;Desconhecida;7.94
195;Avenida Doutor Paulo Medeiros;113.92
196;Rua Sete de Setembro;97.52
197;Rua Sete de Setembro;155.64
198;Rua Sete de Setembro;18.73
199;Rua Rio Branco;18.02
200;Rua Rio Branco;77.42
201;Rua Rio Branco;89.48
202;Rua Rio Branco;103.58
203;Rua Nove de Março;152.1
204;Rua Itajaí;103.86
205;Rua Jerônimo Coelho;159.33
206;Rua Rio Branco;103.58
207;Rua Nove de Março;152.1
208;Rua Nove de Março;32.53
209;Avenida Doutor Paulo Medeiros;111.07
